50,8,23,3,1,0,251,121,
48,8,22,2,1,0,255,119,
53,8,23,2,10,0,252,128,
49,8,23,2,31,0,254,122,
48,7,22,2,34,0,254,126,
48,8,23,3,15,0,251,118,
48,8,23,2,9,0,253,122,
48,7,23,2,1,0,248,121,
48,8,23,3,34,0,249,123,
49,8,23,3,112,1,247,123,
50,7,23,2,62,0,248,119,
50,7,23,3,45,0,248,118,
48,7,23,2,45,0,246,109,
41,6,19,2,19,0,193,88,
36,5,17,2,0,0,184,89,
36,5,17,2,2,0,188,89,
35,5,16,2,4,0,183,87,
37,5,17,2,31,0,183,92,
36,6,17,2,62,0,185,87,
36,5,17,2,10,0,191,89,
36,5,16,2,57,0,186,87,
36,5,17,2,13,0,187,90,
36,5,17,2,5,0,183,91,
40,5,17,2,4,0,183,86,
39,5,16,2,38,0,191,92,
36,6,17,2,12,0,190,93,
37,6,17,2,33,0,
